Date,Name,Year,Letterboxd URI,Rating,director,country,genres,themes,Major Genre,ratingCount,communityScoreRaw,communityScoreWeighted
2019-01-18,Bird Box,2018,https://boxd.it/eh1i,4.0,Susanne Bier,usa,"['thriller', 'drama', 'science-fiction']","['Monsters, aliens, sci-fi and the apocalypse', 'Horror, the undead and monster classics']",thriller,385216,5,2.89
2019-02-12,Velvet Buzzsaw,2019,https://boxd.it/gAy0,3.0,Dan Gilroy,usa,"['horror', 'mystery', 'thriller']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,109224,5,2.43
2019-02-16,Halloween,2018,https://boxd.it/f0uE,4.0,David Gordon Green,usa,"['thriller', 'horror']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",thriller,200239,6,3.28
2019-02-16,Rosemary's Baby,1968,https://boxd.it/29zM,3.0,Roman Polanski,usa,"['drama', 'thriller', 'horror']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",drama,204489,8,4.16
2019-02-16,The Exorcist,1973,https://boxd.it/1Yoo,3.5,William Friedkin,usa,['horror'],"['Horror, the undead and monster classics', 'Faith and religion']",horror,269429,8,3.99
2019-02-16,The Conjuring,2013,https://boxd.it/4sr2,3.0,James Wan,usa,"['horror', 'thriller']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,372445,7,3.59
2019-02-16,It Comes at Night,2017,https://boxd.it/eLuk,3.0,Trey Edward Shults,usa,"['horror', 'drama', 'mystery']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse', 'Intense violence and sexual transgression']",horror,120241,8,3.22
2019-02-16,Carrie,1976,https://boxd.it/20ZQ,3.0,Brian De Palma,usa,"['horror', 'thriller']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,217085,10,3.86
2019-02-16,28 Days Later,2002,https://boxd.it/2aXU,2.5,Danny Boyle,uk,"['horror', 'science-fiction', 'thriller']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",horror,204075,8,3.72
2019-02-16,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,3.5,Wes Craven,usa,['horror'],"['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,224762,10,3.77
2019-02-16,The Blair Witch Project,1999,https://boxd.it/26ua,3.5,Daniel Myrick,usa,"['horror', 'mystery']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",mystery,232235,7,3.33
2019-02-16,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,3.0,Jim Sharman,uk,"['comedy', 'science-fiction', 'horror', 'fantasy']",['Song and dance'],comedy,206315,8,3.97
