Date,Name,Year,Letterboxd URI,Rating
2019-01-18,Get Out,2017,https://boxd.it/eOCm,5
2019-01-18,Pulp Fiction,1994,https://boxd.it/29Pq,2
2019-01-18,The Dark Knight,2008,https://boxd.it/2b0k,3
2019-01-18,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,4
2019-01-18,Inception,2010,https://boxd.it/1skk,2
2019-01-18,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,4
2019-01-18,Fight Club,1999,https://boxd.it/2a9q,3
2019-01-18,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3
2019-01-18,The Shining,1980,https://boxd.it/29Nu,4
2019-01-18,Inglourious Basterds,2009,https://boxd.it/1JzG,3
2019-01-18,Inside Out,2015,https://boxd.it/4KHC,3
2019-01-18,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,5
2019-01-18,Star Wars,1977,https://boxd.it/72s,4
2019-01-18,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4
2019-01-18,Drive,2011,https://boxd.it/IG,4
2019-01-18,The Martian,2015,https://boxd.it/8SeG,4
2019-01-18,The Godfather,1972,https://boxd.it/2aNK,4
2019-01-18,The Empire Strikes Back,1980,https://boxd.it/27Vw,4
2019-01-18,The Social Network,2010,https://boxd.it/17ue,4
2019-01-18,Kill Bill: Vol. 1,2003,https://boxd.it/70w,1
2019-01-18,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2019-01-18,Se7en,1995,https://boxd.it/29zs,4
2019-01-18,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,1
2019-01-18,Nightcrawler,2014,https://boxd.it/780m,4
2019-01-18,Hereditary,2018,https://boxd.it/hNVe,5
2019-01-18,Jurassic Park,1993,https://boxd.it/2aA2,5
2019-01-18,Forrest Gump,1994,https://boxd.it/728,5
2019-01-18,Spirited Away,2001,https://boxd.it/2b4m,5
2019-01-18,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,2
2019-01-18,The Shawshank Redemption,1994,https://boxd.it/2aHi,3
2019-01-18,Moonrise Kingdom,2012,https://boxd.it/2Wng,3
2019-01-18,Room,2015,https://boxd.it/7T0y,4
2019-01-18,Reservoir Dogs,1992,https://boxd.it/2agc,3
2019-01-18,Psycho,1960,https://boxd.it/2ab2,4
2019-01-18,Up,2009,https://boxd.it/1OEc,4
2019-01-18,Return of the Jedi,1983,https://boxd.it/27Vm,4
2019-01-18,GoodFellas,1990,https://boxd.it/29FA,4
2019-01-18,The Truman Show,1998,https://boxd.it/18U8,1
2019-01-18,Split,2016,https://boxd.it/dgSy,1
2019-01-18,The Witch,2015,https://boxd.it/9X0m,4.5
2019-01-18,Jaws,1975,https://boxd.it/2a5e,4
2019-01-18,Zodiac,2007,https://boxd.it/27MO,4
2019-01-18,Pan's Labyrinth,2006,https://boxd.it/28No,4
2019-01-18,Spotlight,2015,https://boxd.it/a84k,4
2019-01-18,Finding Nemo,2003,https://boxd.it/72i,5
2019-01-18,Shutter Island,2010,https://boxd.it/1U82,1.5
2019-01-18,Moana,2016,https://boxd.it/8tfY,3.5
2019-01-18,It Follows,2014,https://boxd.it/87wo,2.5
2019-01-18,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,3.5
2019-01-18,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,3.5
2019-01-18,The Imitation Game,2014,https://boxd.it/6aig,4
2019-01-18,Schindler's List,1993,https://boxd.it/2aq2,4.5
2019-01-18,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,4
2019-01-18,Die Hard,1988,https://boxd.it/2a7u,3
2019-01-18,Silver Linings Playbook,2012,https://boxd.it/2TTo,3
2019-01-18,"Monsters, Inc.",2001,https://boxd.it/2a46,4
2019-01-18,Apocalypse Now,1979,https://boxd.it/6ZS,3
2019-01-18,Avatar,2009,https://boxd.it/1Efm,0.5
2019-01-18,The Big Short,2015,https://boxd.it/ajZw,3.5
2019-01-18,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,3.5
2019-01-18,Oldboy,2003,https://boxd.it/29R2,4
2019-01-18,Trainspotting,1996,https://boxd.it/29XY,2
2019-01-18,Finding Dory,2016,https://boxd.it/4aAA,4
